# Indiana Pastors United Against Abortion Petition
# https://equalprotectionindiana.com/pastoral-petition
# (also published at abolishabortionindiana.com/index.php/indiana-pastors-united-against-abortion/)
# Captured 2026-08-06.
#
# Petition language: "we hereby beseech our elected officials, as though God did beseech you by us
# to end the slaughter of the preborn in Indiana." The petition calls on elected officials to end
# abortion in Indiana and protect all children in the womb, reminding them of their constitutional
# obligation and command from God to grant EQUAL RIGHTS TO THE PREBORN.
#
# Format: pastor|church|city   ("-" church = signed without a congregation named)
Justin Herman|University Lutheran Church|West Lafayette
Allan Springer|Christian Life Centre|Shelbyville
Chris Stull|Hope Church of Fort Wayne|Fort Wayne
Samuel Fitch|Legacy Church|Crawfordsville
Chris Page|Hoosier Harvest Church|Martinsville
Michael Whitacre|Whitesville Christian Church|Darlington
Kenneth Collier|Spirit of Life Church|Martinsville
Bob Goodrum|WellSpring Church|Greenwood
Adam Varnell|Spirit of Life Church|Martinsville
Nate Harlan|Trinity Evangelical Church|Larwill
Kamaron Gray|Harvest Bible Fellowship|Pendleton
Roger Kinion|Calvary Baptist|Greenfield
Andrew Halsey|Christ Church Columbus|Columbus
Brandon Adkisson|Pleasant Heights Baptist Church|Monrovia
Dennis McDaniel Jr|-|Jeffersonville
Corbit White|First Baptist Church of Beech Grove|Indianapolis
Michael Kelley|Word of Truth Ministries|Milford
Fred Tate|First Baptist Church Paoli|Paoli
Jonathan Tapp|Noblesville Baptist Church|Noblesville
Mark Newman|Monon Community Church Assembly of God|Monon
Don Newman|Monon Community Church Assembly of God|Monon
Guy Lipkins|Fountain of Life Bible Church|Terre Haute
Marcus Schrader|New Pal Bible Church|New Palestine
Jason Hampton|Refuge Bible Church|Indianapolis
Brandon Lindsey|The Bridge Church|Evansville
Justin Cassada|The Bridge|Evansville
Leo Mejia Alva|Charity Baptist Church|Indianapolis
Brandon Sutton|Blue Ridge|Shelbyville
Roger Rexroad|-|Indianapolis
Jason Gingerich|Maple Grove Church|Topeka
Russell Reahard|Victory Christian Fellowship|North Manchester
John Crowder|College Park Castleton|Indianapolis
Matthew Wickham|Brandywine Community Church|Greenfield
Jim Bohrer|Hope Community Church|Brownsburg
Randall Badgley|Sugar Grove Bible Church|Greenfield
Matt Kunkel|Indy Metro Church|Indianapolis
Andrew Matthews|Grace Baptist Church|Kokomo
Brett Crump|New Palestine Bible Church|New Palestine
Cameron Fry|Bethel Reformed Baptist Church|Bluffton
Phillip Christian|Post Road Christian Church|Indianapolis
James Brown Jr.|Reformed Church of the Holy Trinity|Mooresville
Bryan Sullivan|Redeemed Community Church|New Palestine
Mark Sanders|Faith Family Church|Frankfort
Donald Hinton|-|Jeffersonville
Jim Tormey|St. Andrews Methodist Church|Syracuse
Tim Bushong|Syracuse Baptist Church|Syracuse
Joseph Spurgeon|Sovereign King Church|Clarksville
Dusty Neal|Memorial Baptist Church|New Castle
Matthew Flenar|Christian Fellowship Church|Peru
David Curell|Trinity Reformed Church|Bloomington
Christopher Fritz|Harbour Shores Church|Noblesville
Paul Taylor|The Crossing|Edinburgh
Stephen Baker|Bloomington Bible Church|Bloomington
Stephen Schultze|Harbour Shores Church|Cicero
Brian McCrorie|Heather Hills Baptist Church|Indianapolis
Doug Elliott|Christ the King|Thorntown
David Abu-Sara|Clearnote Church|Indianapolis
Philip Moyer|Trinity Reformed Church|Bloomington
Charles Townsend|-|Spencer
Tyler Jackson|Redemption Life Bible Church|Muncie
Timothy Bayly|Trinity Reformed Church|Bloomington
Scott Harvey|Bethel Church|Bluffton
Dale R Hart|Ancient Landmark Baptist Church|Idaville
Martin Moehring|Bethlehem Lutheran|Ossian
Jeffrey Springer|Zion Lutheran Church|Fort Wayne
Zachary Houghton|First Baptist Church of Greentown|Elwood
Dennis Judy|Hancock Reformed Baptist Church|Greenfield
Steve Ary|CityGate Indiana|Evansville
Derin Stidd|Harmony Baptist Church|Frankfort
Derek Head|RiverWind Church|Newburgh
Michael Ennis|Victory Baptist Church|Kokomo
Bryan Peters|Presbyterian Reformed Church|Columbus
Bill Blake|Harvest Church|Noblesville
James Farrar|Aletheia Church|Indianapolis
Chance Summers|Mitchell First Baptist|Bedford
Rex Smith|New Palestine Bible Church|Carthage
CJ Buskirk|Sulphur Springs Christian Church|Middletown
Brandon Scalf|Cruciform Church|Indianapolis
Gary Green|Northridge Baptist Church|Fort Wayne
Eric Beerbow|Clearnote Church|Indianapolis
