# Kentucky HB 523 Pastors' Statement — Abolish Abortion Kentucky
# https://abolishabortionky.org/press-room  — captured 2026-08-06.
#
# 128 pastors across Kentucky signed in support of HOUSE BILL 523, the Abolition of Abortion in
# Kentucky Act, introduced by Reps. Richard White and Josh Calloway. The bill teaches that life
# begins at fertilisation and that equal protection begins then — equal protection for the born and
# the unborn. Statement: "Whether a baby is inside the womb or outside the womb, the place that it
# resides does not change the fact that it is a life."
#
# Context: the Kentucky Baptist Convention adopted a 2024 resolution exhorting officials to "take all
# necessary steps to legally abolish abortion and establish equal justice and protection for the
# preborn in the Commonwealth." More than 300 KY pastors met at the Creation Museum for an End
# Abortion Now presentation on the legislation.
#
# Format: pastor|church|city|state
H. Michael Shultz Jr.|Antioch Baptist Church|Lewisburg|KY
Brandon Bramlett|Bandana Baptist Church|Bandana|KY
Dylan Alexander|Barrett's Creek Baptist Church|Grayson|KY
John Rodgers|Beaver Lick Baptist Church|Union|KY
Scott Van Neste|Bellepoint Baptist Church|Frankfort|KY
Stephen Brogli|Bethel Baptist Church|Harrodsburg|KY
Brandon Sickling|Bethlehem Baptist Church|La Center|KY
Chris Parrish|Buck Run Baptist Church|Frankfort|KY
Brad Hockensmith|Buffalo Lick Baptist Church|Shelbyville|KY
Vernon L. Jones|Buffalo Missionary Baptist Church|Corbin|KY
Jim Orrick|Bullitt Lick Baptist Church|Shepherdsville|KY
Jonathan Brewster|Burlington Baptist Church|Burlington|KY
Nick Forsythe|Calvary Baptist Church|Grand Rivers|KY
Brian Nevins|Calvary Chapel NKY|Florence|KY
Tray Earnhart|Cedar Grove Baptist Church|Shepherdsville|KY
Alex Garner|Christ Community Baptist Church|Prestonsburg|KY
Michael Clary|Christ the King Church|Ft Thomas|KY
James Slone|Church of Christ|Hueysville|KY
James Kelly|Clear Creek Missionary Baptist Church|Mt. Vernon|KY
Luther Thomack|Clearfield Baptist Church|Morehead|KY
Mickey Brown|Community Life Church|Paducah|KY
Robert Riddle|Community Well Church|Paintsville|KY
