« Third-party postmillennial church directory, captured 2026-07-30 from
« postmillennialworldview.com/postmill-churches/ — US entries only.
« Independent, CHURCH-LEVEL corroboration of the postmill marker, as opposed to
« inferring it from denominational membership. Format: name|city|state|pastor(s)
Reformed Presbyterian Church of Birmingham|Hoover|AL|
Christ Church Branchville|Odenville|AL|Keith Diamond; Ted Phillips
Grace Baptist Church|West Blocton|AL|Derek Johnson; Ben Character
Covenant Bible Church|Palmer|AK|Jack Phelps
Valley Fellowship|Wasilla|AK|
Grace Christian Fellowship|Queen Creek|AZ|Mike Schlauder
Phoenix Reformed Baptist Church|Phoenix|AZ|Don Fry
Kings Way Church|Prescott|AZ|Dale Partridge
Apologia Church|Tempe|AZ|Jeff Durbin
Covenant Reformed Church|Heber Springs|AR|Bran Sneed
Bayview Orthodox Presbyterian Church|Chula Vista|CA|Roger Wagner
Grace Orthodox Presbyterian Church|Costa Mesa|CA|David L. Thibault
Hinkley Bible Church|Hinkley|CA|Robert McDonell
Christ Presbyterian Church|Irvine|CA|Michael Preciado
Los Angeles Reformed Presbyterian Church|Los Angeles|CA|Nathan Eshelman
Reformed Heritage Church|Los Gatos|CA|Gary Wagner
Christ Redeemer Reformed Church|Moreno Valley|CA|Martin Medina
Covenant Church|Mentone|CA|Aaron Hebbard
St. Elijahs Reformed Worship|Newark|CA|Troy Martin
Grace Presbyterian Church|Redding|CA|David Stark
Church of the King|Roseville|CA|John E. Stoos
Covenant Reformed Presbyterian Church|Sacramento|CA|Jim West
Christ Covenant Church|Somis|CA|Ben Alexander
Trinity Covenant Church|Terra Bella|CA|Jim Steed
Branch of Hope Orthodox Presbyterian Church|Torrance|CA|Paul Viggiano
Iglesia Bautista Nueva Esperanza|Woodland|CA|William Garcia
Redeemer Community Church|Centennial|CO|Jeff Rodland
L2 Church|Denver|CO|Russ McKendry
Redemption Church Denver|Denver|CO|James Rathmann
Trinity Church Denver|Denver|CO|Brian Brown
Saint Athanasius Church|Fort Collins|CO|Jack Shannon
Providence Reformed Evangelical Church|Grand Junction|CO|Michael Denna
Covenant Baptist Church|Baker|FL|Russell Taylor
Covenant Presbyterian Church|Belleview|FL|Randy Talbot
Christ Presbyterian Church|Lakeland|FL|
Christ Church Lakeland|Lakeland|FL|Steven Wedgeworth
Sharon Orthodox Presbyterian Church|Miami Lakes|FL|Jeffrey K. Boer
Pinewood Presbyterian|Middleburg|FL|J.D. Funyak
Solid Rock Worship Center|Mount Dora|FL|Larry Stutzman
Reformed Presbyterian Church|Ocala|FL|Reed Best
Providence Church|Pensacola|FL|Uri Brito
Christ the King Baptist Church|Plant City|FL|Thomas W. Francis Jr.
Saint Andrews Chapel|Sanford|FL|
True Grace Church|Spring Hill|FL|Ken Matey
Atlanta Presbyterian Fellowship|Atlanta|GA|Frank Smith
Covenant Presbyterian Church|Buford|GA|Chris Strevel
Providence Reformed Presbyterian Church|Covington|GA|Wayne Rogers
Chalcedon Presbyterian Church|Cumming|GA|Tim Price
Heritage Presbyterian Church|Cumming|GA|Joe Morecraft III
Crossroads Church of Dunwoody|Dunwoody|GA|Brian St. James
Zion Presbyterian Church|Juliette|GA|Jess Stanfield
Westminster Presbyterian Church|Martinez|GA|Mark Scholten
Salem Reformed Church|Rome|GA|George Crocker
Bethany Baptist Church|Tennille|GA|Brant Kennedy
Vertical Church|Boise|ID|Matt
The Well|Boise|ID|Josh Bales
Trinity Church|Coeur dAlene|ID|Stuart Bryan
The Potters Clay Church|Hazelton|ID|J Mark Johnson
Christ Church|Moscow|ID|Doug Wilson
Stone Mountain Baptist Church|Nampa|ID|Gabriel Render
Crossroad Church|Earlham|IA|Grant Brown
Reformed Baptist Church|Tama|IA|Paul Rendall
Christ the Redeemer Church|Pella|IA|Michael Shover
The River Community Church|Iowa City|IA|
Newton Christian Reformed Church|Newton|IA|Aaron Gunsaulus
Christ Covenant Church|Durand|IL|Dan Gibson
Fox Lake Community Church|Fox Lake|IL|Wayne Christensen
Christ Reformed Baptist Church|Metamora|IL|Kerry Scott Miller
Christ Covenant Church of Chicago|Rolling Meadows|IL|Jon Herr
Princeville Presbyterian Church|Princeville|IL|Nathan Riese
New Hope Church|Carmel|IN|Brandon Scalf
Anglican Church of the Ascension|Indianapolis|IN|Timothy Felch
Sovereign King Church|Jeffersonville|IN|Joseph Spurgeon
Trinity Evangelical Church|Larwill|IN|Nate Harlan
Harvest Bible Fellowship|Pendleton|IN|Kamaron Gray
Syracuse Baptist Church|Syracuse|IN|Tim Bushong
Christ Church Leavenworth|Leavenworth|KS|Daniel Spratt
Trinity Evangelical Church|Pratt|KS|Doug Enick
Community Presbyterian Church|Louisville|KY|Greg Lawrence
Trinity Presbyterian Church|Ludlow|KY|Chuck Hickey
First Baptist Church of Mt. Sterling|Mt. Sterling|KY|Chris Wells
Silver City Church|Mount Sterling|KY|Zachary Hill
The Parish of the Redeemer|Calhoun|LA|Trey Fisher
Christ Church|Lafayette|LA|Brandon Nealey
Christ Reformed Evangelical Church|Annapolis|MD|Dan Nash
Grace and Peace Orthodox Presbyterian Church|California|MD|Edd Cathey
Christ Reformed Church|Oakland|ME|Chris Boland
The Shepherds Church|Chelmsford|MA|Kendall Lankford
Faith Victory Fellowship|Buchanan|MI|David Mitchell
Colwood Church|Caro|MI|Jason Garwood
Providence Church|Caro|MI|Jacob Hanby
Charlotte CRC|Charlotte|MI|Bret L. McAtee
Spencer Mills OPC|Gowen|MI|Alan Flowers
OneLife Church|Grand Blanc|MI|Eric Stewart
New Life Fellowship|Holland|MI|Mart Novak
Grace Orthodox Presbyterian Church|Lansing|MI|Stephen Pribble
CityGate Church|Portage|MI|John Gilfillan
White Oak Bible Chapel|Akeley|MN|Jake Nelson
Sunrise Baptist Church|Petal|MS|Blake McDaniel
New Covenant Church|Chesterfield|MO|Steven Ottolini Jr.
Sadler Chapel Church|Dexter|MO|Joseph Myers
Sovereign Grace OPC|Doniphan|MO|Will Barnett
Hope Baptist Church|Springfield|MO|Joshua Jenkins
Christ Covenant Reformed Church|Billings|MT|Joost Nixon
Cornerstone Bible Church|Great Falls|MT|Joseph Moyer
Emmanuel Church|Helena|MT|Jonah Barnes
Christ Church Missoula|Missoula|MT|Flynn Ayers
Dominion Covenant Church|Omaha|NE|Phil Kayser; Gary Duff
Tri-City Covenant Church|Somersworth|NH|Harold Guptill; John Correia
Grace Covenant Reformed Church|Clovis|NM|Ryan Denton
Immanuel Baptist Church|Tucumcari|NM|Gordan Runyan
